what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1255022774684
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.rename",1255022774685
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255022779336
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255022785156
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1255022785195
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.rename",1255022785197
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1255022787043
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1255022787088
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1255022789516
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1255022789516
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255022790787
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255022827662
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1255022830051
started,bundle,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser",1255022830239
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1255022830345
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1255022830360
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255022830443
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255022830724
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255022831263
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255022835151
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1255022836005
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1255022836229
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1255022843450
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.101.R35x_v20090721,"org.eclipse.equinox.p2.artifact.repository",1255022857412
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1255022857987
