what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1256070438567
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1256070438593
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1256070438780
error,log,,,"Resource '/example-rails-polymorphic-model' is not open.",1256070438878
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1256070438887
error,log,,,"Resource '/example-rails-polymorphic-model' is not open.",1256070438891
error,log,,,"Resource '/example-rails-polymorphic-model' is not open.",1256070438891
error,log,,,"Resource '/example-rails-polymorphic-model' is not open.",1256070438893
error,log,,,"Resource '/example-rails-polymorphic-model' is not open.",1256070438895
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1256070438898
started,bundle,com.aptana.ide.desktop.integration.protocolhandler,1.5.0.25611,"com.aptana.ide.desktop.integration.protocolhandler",1256070439051
started,bundle,com.aptana.ide.desktop.integration.server,1.5.0.25497,"com.aptana.ide.desktop.integration.server",1256070439108
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1256070439162
started,bundle,com.aptana.ide.installer,1.5.0.25382,"com.aptana.ide.installer",1256070439171
started,bundle,com.aptana.ide.update.eclipse34,1.5.0.26125,"com.aptana.ide.update.eclipse34",1256070439221
started,bundle,com.aptana.ide.update.eclipse35,1.5.0.26125,"com.aptana.ide.update.eclipse35",1256070439230
started,bundle,org.eclipse.equinox.p2.metadata,1.0.100.v20090525,"org.eclipse.equinox.p2.metadata",1256070439240
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1256070439249
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1256070439983
error,log,,,"Setting executable bit for: /usr/local/jruby-1.3.1/bin/jruby",1256070447897
